time,Power,Oxygen,Cadence,HR,RF,Participant,Method
1.0,0.0,318.4,0.0,75.6,20.1,1.0,0.0
2.0,0.0,356.1666667,0.0,75.66666667,19.75,1.0,0.0
3.0,0.0,403.2857143,0.0,75.71428571,19.42857143,1.0,0.0
4.0,0.0,456.25,0.0,75.75,19.125,1.0,0.0
5.0,0.0,478.9259259,0.0,75.74074074,18.96296296,1.0,0.0
6.0,0.0,480.4,0.0,75.7,18.9,1.0,0.0
7.0,0.0,480.0,0.0,75.7,18.6,1.0,0.0
8.0,0.0,482.7166667,0.0,75.69166667,18.375,1.0,0.0
9.0,0.0,488.55,0.0,75.675,18.225,1.0,0.0
10.0,0.0,497.5,0.0,75.65,18.15,1.0,0.0
11.0,0.0,493.2,0.0,75.65,18.1,1.0,0.0
12.0,0.0,468.9333333,0.0,75.68333333,18.03333333,1.0,0.0
13.0,0.0,424.7,0.0,75.75,17.95,1.0,0.0
14.0,0.0,360.5,0.0,75.85,17.85,1.0,0.0
15.0,0.0,315.8666667,0.0,75.98333333,17.78333333,1.0,0.0
16.0,0.0,290.8,0.0,76.15,17.75,1.0,0.0
17.0,0.0,285.3,0.0,76.35,17.75,1.0,0.0
18.0,0.0,281.85,0.0,76.525,17.875,1.0,0.0
19.0,0.0,281.7,0.0,76.675,18.075,1.0,0.0
20.0,0.0,284.85,0.0,76.8,18.35,1.0,0.0
21.0,0.0,286.65,0.0,76.96,18.49,1.0,0.0
22.0,0.0,293.8166667,0.0,77.14666667,18.53666667,1.0,0.0
23.0,0.0,306.35,0.0,77.36,18.49,1.0,0.0
24.0,0.0,324.25,0.0,77.6,18.35,1.0,0.0
25.0,0.0,338.75,0.0,77.9,17.95,1.0,0.0
26.0,0.0,361.65,0.0,78.15,17.525,1.0,0.0
27.0,0.0,392.95,0.0,78.35,17.075,1.0,0.0
28.0,0.0,432.65,0.0,78.5,16.6,1.0,0.0
29.0,0.0,479.5,0.0,78.6,16.15,1.0,0.0
30.0,0.0,514.12,0.0,78.7,15.55,1.0,0.0
31.0,0.0,541.16,0.0,78.74,15.01,1.0,0.0
32.0,0.0,560.62,0.0,78.72,14.53,1.0,0.0
33.0,0.0,572.5,0.0,78.64,14.11,1.0,0.0
34.0,0.0,576.8,0.0,78.5,13.75,1.0,0.0
35.0,0.0,582.375,0.0,78.275,13.7,1.0,0.0
36.0,0.0,577.425,0.0,78.075,13.725,1.0,0.0
37.0,0.0,561.95,0.0,77.9,13.825,1.0,0.0
38.0,0.0,535.95,0.0,77.75,14.0,1.0,0.0
39.0,0.0,497.8,0.0,77.65,14.025,1.0,0.0
40.0,0.0,466.88,0.0,77.55,14.075,1.0,0.0
41.0,0.0,443.19,0.0,77.45,14.15,1.0,0.0
42.0,0.0,426.73,0.0,77.35,14.25,1.0,0.0
43.0,0.0,413.97,0.0,77.23,14.41,1.0,0.0
44.0,0.0,404.91,0.0,77.09,14.63,1.0,0.0
45.0,0.0,390.695,0.0,76.955,14.66,1.0,0.0
46.0,0.0,371.325,0.0,76.825,14.5,1.0,0.0
47.0,0.0,346.8,0.0,76.7,14.15,1.0,0.0
48.0,0.0,345.8666667,0.0,76.56666667,13.81666667,1.0,0.0
49.0,0.0,370.15,0.0,76.4,13.725,1.0,0.0
50.0,0.0,419.65,0.0,76.2,13.875,1.0,0.0
51.0,0.0,454.24,0.0,76.08,14.04,1.0,0.0
52.0,0.0,473.92,0.0,76.04,14.22,1.0,0.0
53.0,0.0,482.22,0.0,76.1,14.38,1.0,0.0
54.0,0.0,479.14,0.0,76.26,14.52,1.0,0.0
55.0,0.0,464.68,0.0,76.52,14.64,1.0,0.0
56.0,0.0,453.2,0.0,76.76666667,15.1,1.0,0.0
57.0,0.0,444.7,0.0,77.0,15.9,1.0,0.0
58.0,0.0,410.4333333,0.0,77.23333333,16.83333333,1.0,0.0
59.0,0.0,354.45,0.0,77.4,17.6,1.0,0.0
60.0,0.0,276.75,0.0,77.5,18.2,1.0,0.0
61.0,0.0,216.31,0.0,77.47,18.96,1.0,0.0
62.0,0.0,173.13,0.0,77.31,19.88,1.0,0.0
63.0,0.0,168.4766667,0.0,77.07,20.66,1.0,0.0
64.0,0.0,202.35,0.0,76.75,21.3,1.0,0.0
65.0,0.0,274.75,0.0,76.35,21.8,1.0,0.0
66.0,0.0,351.0833333,0.0,75.95,22.1,1.0,0.0
67.0,0.0,431.35,0.0,75.55,22.2,1.0,0.0
68.0,0.0,515.55,0.0,75.15,22.1,1.0,0.0
69.0,0.0,585.2,0.0,74.9,21.825,1.0,0.0
70.0,0.0,640.3,0.0,74.8,21.375,1.0,0.0
71.0,0.0,682.0,0.0,74.8,20.65,1.0,0.0
72.0,0.0,710.3,0.0,74.9,19.65,1.0,0.0
73.0,0.0,716.0833333,0.0,75.0,18.9,1.0,0.0
74.0,0.0,699.35,0.0,75.1,18.4,1.0,0.0
75.0,0.0,660.1,0.0,75.2,18.15,1.0,0.0
76.0,0.0,618.5666667,0.0,75.33333333,17.85,1.0,0.0
77.0,0.0,572.9,0.0,75.525,17.375,1.0,0.0
78.0,0.0,523.1,0.0,75.775,16.725,1.0,0.0
79.0,0.0,483.6,0.0,76.0,16.175,1.0,0.0
80.0,0.0,454.4,0.0,76.2,15.725,1.0,0.0
81.0,0.0,445.95,0.0,76.325,15.5,1.0,0.0
82.0,0.0,458.25,0.0,76.375,15.5,1.0,0.0
83.0,0.0,479.15,0.0,76.4,15.5,1.0,0.0
84.0,0.0,508.65,0.0,76.4,15.5,1.0,0.0
85.0,0.0,523.8666667,0.0,76.5,15.48333333,1.0,0.0
86.0,0.0,524.8,0.0,76.7,15.45,1.0,0.0
87.0,0.0,513.3,0.0,76.975,15.525,1.0,0.0
88.0,0.0,507.175,0.0,77.175,15.6,1.0,0.0
89.0,0.0,506.425,0.0,77.3,15.675,1.0,0.0
90.0,0.0,511.05,0.0,77.35,15.75,1.0,0.0
91.0,0.0,510.6,0.0,77.375,15.7,1.0,0.0
92.0,0.0,497.18,0.0,77.445,15.6,1.0,0.0
93.0,0.0,470.79,0.0,77.56,15.45,1.0,0.0
94.0,0.0,431.43,0.0,77.72,15.25,1.0,0.0
95.0,0.0,401.9833333,0.0,77.8,15.01666667,1.0,0.0
96.0,0.0,382.45,0.0,77.8,14.75,1.0,0.0
97.0,0.0,378.01,0.0,77.68,14.51,1.0,0.0
98.0,0.0,370.855,0.0,77.59,14.405,1.0,0.0
99.0,0.0,360.985,0.0,77.53,14.435,1.0,0.0
100.0,0.0,348.4,0.0,77.5,14.6,1.0,0.0
101.0,0.0,333.1,0.0,77.5,14.9,1.0,0.0
102.0,0.0,312.82,0.0,77.48,15.15,1.0,0.0
103.0,0.0,287.56,0.0,77.44,15.35,1.0,0.0
104.0,0.0,268.945,0.0,77.305,15.6,1.0,0.0
105.0,0.0,256.975,0.0,77.075,15.9,1.0,0.0
106.0,0.0,251.65,0.0,76.75,16.25,1.0,0.0
107.0,0.0,247.79,0.0,76.37,16.59,1.0,0.0
108.0,0.0,246.945,0.0,75.985,16.795,1.0,0.0
109.0,0.0,249.115,0.0,75.595,16.865,1.0,0.0
110.0,0.0,254.3,0.0,75.2,16.8,1.0,0.0
111.0,0.0,262.5,0.0,74.8,16.6,1.0,0.0
112.0,0.0,282.425,0.0,74.425,16.45,1.0,0.0
113.0,0.0,314.075,0.0,74.075,16.35,1.0,0.0
114.0,0.0,345.825,0.0,73.825,16.2,1.0,0.0
