Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year
20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,20.32,6.37,9.85,0.99,3.12,2013.0
21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,19.39,6.06,9.71,0.6,3.02,2014.0
31,Grand Theft Auto: Vice City,Action,M,PS2,Rockstar Games,Rockstar North,9.6,,16.15,8.41,5.49,0.47,1.78,2002.0
33,Grand Theft Auto V,Action,M,X360,Rockstar Games,Rockstar North,,,15.86,9.06,5.33,0.06,1.42,2013.0
35,Call of Duty: Black Ops 3,Shooter,M,PS4,Activision,Treyarch,,,15.09,6.18,6.05,0.41,2.44,2015.0
41,Call of Duty: Modern Warfare 3,Shooter,M,X360,Activision,Infinity Ward,8.7,,14.82,9.07,4.29,0.13,1.33,2011.0
42,Call of Duty: Black Ops,Shooter,M,X360,Activision,Treyarch,8.8,,14.74,9.76,3.73,0.11,1.14,2010.0
46,Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,,13.94,5.26,6.21,0.21,2.26,2018.0
47,Call of Duty: Black Ops II,Shooter,M,X360,Activision,Treyarch,,,13.86,8.27,4.32,0.07,1.2,2012.0
48,Call of Duty: Black Ops II,Shooter,M,PS3,Activision,Treyarch,,,13.8,4.99,5.88,0.65,2.28,2012.0
50,Call of Duty: Modern Warfare 2,Shooter,M,X360,Activision,Infinity Ward,9.5,9.0,13.53,8.54,3.63,0.08,1.28,2009.0
51,Call of Duty: WWII,Shooter,M,PS4,Activision,Sledgehammer Games,8.0,,13.4,4.67,6.21,0.4,2.12,2017.0
52,Call of Duty: Modern Warfare 3,Shooter,M,PS3,Activision,Infinity Ward,8.8,,13.35,5.54,5.78,0.49,1.54,2011.0
54,Grand Theft Auto III,Action,M,PS2,Rockstar Games,DMA Design,9.5,,13.1,6.99,4.51,0.3,1.3,2001.0
60,Call of Duty: Black Ops,Shooter,M,PS3,Activision,Treyarch,8.7,,12.67,6.01,4.4,0.48,1.78,2010.0
69,FIFA 18,Sports,E,PS4,EA Sports,EA Vancouver,8.3,,11.8,1.27,8.64,0.15,1.73,2017.0
74,Grand Theft Auto IV,Action,M,X360,Rockstar Games,Rockstar North,10.0,,11.09,6.8,3.11,0.14,1.04,2008.0
77,FIFA 17,Sports,E,PS4,Electronic Arts,EA Canada,8.9,,10.94,1.26,7.95,0.12,1.61,2016.0
79,Call of Duty: Modern Warfare 2,Shooter,M,PS3,Activision,Infinity Ward,9.5,,10.61,4.99,3.66,0.38,1.59,2009.0
80,Grand Theft Auto IV,Action,M,PS3,Rockstar Games,Rockstar North,10.0,9.0,10.57,4.79,3.73,0.44,1.62,2008.0
82,Call of Duty: Ghosts,Shooter,M,X360,Activision,Infinity Ward,6.9,,10.41,6.76,2.64,0.04,0.98,2013.0
83,Just Dance 3,Misc,E10,Wii,Ubisoft,Ubisoft Paris,7.5,,10.14,5.95,3.13,,1.06,2011.0
84,Call of Duty: Ghosts,Shooter,M,PS3,Activision,Infinity Ward,7.5,,10.13,4.11,4.01,0.39,1.62,2013.0
88,Halo: Reach,Shooter,M,X360,Microsoft Game Studios,Bungie,9.3,,9.97,7.08,2.01,0.08,0.8,2010.0
90,Halo 4,Shooter,M,X360,Microsoft Studios,343 Industries,,,9.96,6.72,2.36,0.04,0.83,2012.0
95,Call of Duty 4: Modern Warfare,Shooter,M,X360,Activision,Infinity Ward,9.6,9.0,9.41,5.98,2.39,0.13,0.91,2007.0
98,Call of Duty: Black Ops IIII,Shooter,M,PS4,Activision,Treyarch,,,9.32,4.05,3.28,0.5,1.49,2018.0
101,FIFA 19,Sports,E,PS4,Electronic Arts,EA Sports,,,9.15,0.84,6.87,0.1,1.34,2018.0
105,The Elder Scrolls V: Skyrim,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,9.3,,8.88,5.1,2.83,0.1,0.85,2011.0
108,Grand Theft Auto V,Action,M,XOne,Rockstar Games,Rockstar North,9.0,9.0,8.72,4.7,3.25,0.01,0.76,2014.0
113,Call of Duty: Infinite Warfare,Shooter,M,PS4,Activision,Infinity Ward,,,8.48,3.11,3.83,0.19,1.36,2016.0
114,Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,,8.48,2.91,3.97,0.27,1.34,2015.0
119,FIFA 16,Sports,E,PS4,EA Sports,EA Canada,8.5,,8.22,1.15,5.77,0.07,1.23,2015.0
121,Star Wars Battlefront (2015),Shooter,T,PS4,Electronic Arts,EA DICE,7.1,,8.03,3.31,3.19,0.23,1.3,2015.0
122,FIFA 13,Sports,E,PS3,EA Sports,EA Canada,,,8.01,1.07,5.13,0.13,1.68,2012.0
124,The Sims 3,Simulation,T,PC,Electronic Arts,EA Redwood Shores,8.5,,7.96,1.01,6.46,,0.5,2009.0
125,Grand Theft Auto: Liberty City Stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,8.8,,7.72,2.9,2.83,0.24,1.74,2005.0
129,Crash Bandicoot 2: Cortex Strikes Back,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,8.6,,7.58,3.78,2.17,1.31,0.31,1997.0
130,Call of Duty: Advanced Warfare,Shooter,M,PS4,Activision,Sledgehammer Games,8.5,,7.53,2.84,3.34,0.14,1.22,2014.0
131,Call of Duty: World at War,Shooter,M,X360,Activision,Treyarch,8.5,7.8,7.5,4.88,1.91,,0.71,2008.0
135,Call of Duty: Black Ops 3,Shooter,M,XOne,Activision,Treyarch,,,7.37,4.63,2.04,0.02,0.68,2015.0
136,Battlefield 3,Shooter,M,X360,Electronic Arts,Dice,8.5,,7.35,4.47,2.12,0.06,0.69,2011.0
138,Battlefield 1,Shooter,M,PS4,Electronic Arts,EA DICE,,,7.26,2.2,3.65,0.29,1.12,2016.0
139,Battlefield 3,Shooter,M,PS3,Electronic Arts,Dice,8.5,,7.21,2.86,2.94,0.35,1.07,2011.0
140,Need for Speed Underground,Racing,E,PS2,Electronic Arts,EA Black Box,8.6,,7.2,3.27,2.83,0.08,1.02,2003.0
142,Crash Bandicoot 3: Warped,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,9.3,,7.13,3.68,1.75,1.42,0.28,1998.0
145,Need for Speed Underground 2,Racing,E,PS2,Electronic Arts,EA Black Box,8.3,,6.9,2.71,3.02,0.08,1.09,2004.0
146,Just Dance 4,Music,E10,Wii,Ubisoft,Ubisoft,,,6.89,4.05,2.21,,0.62,2012.0
148,Uncharted 3: Drake's Deception,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.3,6.84,2.77,2.81,0.19,1.06,2011.0
149,Medal of Honor: Frontline,Shooter,T,PS2,Electronic Arts,EA Los Angeles,9.0,,6.83,2.93,2.75,0.17,0.99,2002.0
151,Zumba Fitness,Sports,E,Wii,Majesco,"Pipeworks Software, Inc.",,,6.76,3.47,2.62,,0.67,2010.0
152,Uncharted 2: Among Thieves,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,9.5,9.6,6.74,3.28,2.22,0.21,1.02,2009.0
153,Call of Duty 4: Modern Warfare,Shooter,M,PS3,Activision,Infinity Ward,9.5,9.6,6.72,3.13,2.27,0.28,1.04,2007.0
154,FIFA Soccer 12,Sports,E,PS3,EA Sports,EA Canada,9.2,,6.65,0.84,4.33,0.11,1.37,2011.0
155,FIFA 14,Sports,E,PS3,EA Sports,EA Canada,,,6.61,0.79,4.77,0.07,0.98,2013.0
156,Red Dead Redemption,Action,M,PS3,Rockstar Games,Rockstar San Diego,9.5,,6.57,2.82,2.58,0.17,1.0,2011.0
159,Assassin's Creed III,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,8.8,,6.5,2.65,2.61,0.16,1.08,2012.0
161,Red Dead Redemption,Action,M,X360,Rockstar Games,Rockstar San Diego,9.5,10.0,6.5,3.77,2.03,0.09,0.6,2010.0
162,The Elder Scrolls V: Skyrim,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,9.0,,6.49,2.57,2.68,0.25,0.99,2011.0
166,Halo 3: ODST,Shooter,M,X360,Microsoft Game Studios,Bungie,8.7,,6.35,4.34,1.34,0.06,0.61,2009.0
167,Minecraft,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,,6.33,1.89,3.13,0.35,0.96,2014.0
168,FIFA 15,Sports,E,PS4,EA Sports,EA Canada,8.1,,6.32,0.83,4.49,0.05,0.94,2014.0
171,The Last of Us,Action-Adventure,M,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,,6.27,2.41,2.57,0.29,0.99,2013.0
172,Driver,Action,T,PS,GT Interactive,Reflections Interactive,8.5,,6.27,3.11,2.8,0.02,0.33,1999.0
173,Call of Duty: WWII,Shooter,M,XOne,Activision,Sledgehammer Games,,,6.23,3.75,1.91,,0.57,2017.0
