Date,Births
1/1/59,35
2/1/59,32
3/1/59,30
4/1/59,31
5/1/59,44
6/1/59,29
7/1/59,45
8/1/59,43
9/1/59,38
10/1/59,27
11/1/59,38
12/1/59,33
13/1/59,55
14/1/59,47
15/1/59,45
16/1/59,37
17/1/59,50
18/1/59,43
19/1/59,41
20/1/59,52
21/1/59,34
22/1/59,53
23/1/59,39
24/1/59,32
25/1/59,37
26/1/59,43
27/1/59,39
28/1/59,35
29/1/59,44
30/1/59,38
31/1/59,24
1/2/59,23
2/2/59,31
3/2/59,44
4/2/59,38
5/2/59,50
6/2/59,38
7/2/59,51
8/2/59,31
9/2/59,31
10/2/59,51
11/2/59,36
12/2/59,45
13/2/59,51
14/2/59,34
15/2/59,52
16/2/59,47
17/2/59,45
18/2/59,46
19/2/59,39
20/2/59,48
21/2/59,37
22/2/59,35
23/2/59,52
24/2/59,42
25/2/59,45
26/2/59,39
27/2/59,37
28/2/59,30
1/3/59,35
2/3/59,28
3/3/59,45
4/3/59,34
5/3/59,36
6/3/59,50
7/3/59,44
8/3/59,39
9/3/59,32
10/3/59,39
11/3/59,45
12/3/59,43
13/3/59,39
14/3/59,31
15/3/59,27
16/3/59,30
17/3/59,42
18/3/59,46
19/3/59,41
20/3/59,36
21/3/59,45
22/3/59,46
23/3/59,43
24/3/59,38
25/3/59,34
26/3/59,35
27/3/59,56
28/3/59,36
29/3/59,32
30/3/59,50
31/3/59,41
1/4/59,39
2/4/59,41
3/4/59,47
4/4/59,34
5/4/59,36
6/4/59,33
7/4/59,35
8/4/59,38
9/4/59,38
10/4/59,34
11/4/59,53
12/4/59,34
13/4/59,34
14/4/59,38
15/4/59,35
16/4/59,32
17/4/59,42
18/4/59,34
19/4/59,46
20/4/59,30
21/4/59,46
22/4/59,45
23/4/59,54
24/4/59,34
25/4/59,37
26/4/59,35
27/4/59,40
28/4/59,42
29/4/59,58
30/4/59,51
1/5/59,32
2/5/59,35
3/5/59,38
4/5/59,33
5/5/59,39
6/5/59,47
7/5/59,38
8/5/59,52
9/5/59,30
10/5/59,34
11/5/59,40
12/5/59,35
13/5/59,42
14/5/59,41
15/5/59,42
16/5/59,38
17/5/59,24
18/5/59,34
19/5/59,43
20/5/59,36
21/5/59,55
22/5/59,41
23/5/59,45
24/5/59,41
25/5/59,37
26/5/59,43
27/5/59,39
28/5/59,33
29/5/59,43
30/5/59,40
31/5/59,38
1/6/59,45
2/6/59,46
3/6/59,34
4/6/59,35
5/6/59,48
6/6/59,51
7/6/59,36
8/6/59,33
9/6/59,46
10/6/59,42
11/6/59,48
12/6/59,34
13/6/59,41
14/6/59,35
15/6/59,40
16/6/59,34
17/6/59,30
18/6/59,36
19/6/59,40
20/6/59,39
21/6/59,45
22/6/59,38
23/6/59,47
24/6/59,33
25/6/59,30
26/6/59,42
27/6/59,43
28/6/59,41
29/6/59,41
30/6/59,59
1/7/59,43
2/7/59,45
3/7/59,38
4/7/59,37
5/7/59,45
6/7/59,42
7/7/59,57
8/7/59,46
9/7/59,51
10/7/59,41
11/7/59,47
12/7/59,26
13/7/59,35
14/7/59,44
15/7/59,41
16/7/59,42
17/7/59,36
18/7/59,45
19/7/59,45
20/7/59,45
21/7/59,47
22/7/59,38
23/7/59,42
24/7/59,35
25/7/59,36
26/7/59,39
27/7/59,45
28/7/59,43
29/7/59,47
30/7/59,36
31/7/59,41
1/8/59,50
2/8/59,39
3/8/59,41
4/8/59,46
5/8/59,64
6/8/59,45
7/8/59,34
8/8/59,38
9/8/59,44
10/8/59,48
11/8/59,46
12/8/59,44
13/8/59,37
14/8/59,39
15/8/59,44
16/8/59,45
17/8/59,33
18/8/59,44
19/8/59,38
20/8/59,46
21/8/59,46
22/8/59,40
23/8/59,39
24/8/59,44
25/8/59,48
26/8/59,50
27/8/59,41
28/8/59,42
29/8/59,51
30/8/59,41
31/8/59,44
1/9/59,38
2/9/59,68
3/9/59,40
4/9/59,42
5/9/59,51
6/9/59,44
7/9/59,45
8/9/59,36
9/9/59,57
10/9/59,44
11/9/59,42
12/9/59,53
13/9/59,42
14/9/59,34
15/9/59,40
16/9/59,56
17/9/59,44
18/9/59,53
19/9/59,55
20/9/59,39
21/9/59,59
22/9/59,55
23/9/59,73
24/9/59,55
25/9/59,44
26/9/59,43
27/9/59,40
28/9/59,47
29/9/59,51
30/9/59,56
1/10/59,49
2/10/59,54
3/10/59,56
4/10/59,47
5/10/59,44
6/10/59,43
7/10/59,42
8/10/59,45
9/10/59,50
10/10/59,48
11/10/59,43
12/10/59,40
13/10/59,59
14/10/59,41
15/10/59,42
16/10/59,51
17/10/59,49
18/10/59,45
19/10/59,43
20/10/59,42
21/10/59,38
22/10/59,47
23/10/59,38
24/10/59,36
25/10/59,42
26/10/59,35
27/10/59,28
28/10/59,44
29/10/59,36
30/10/59,45
31/10/59,46
1/11/59,48
2/11/59,49
3/11/59,43
4/11/59,42
5/11/59,59
6/11/59,45
7/11/59,52
8/11/59,46
9/11/59,42
10/11/59,40
11/11/59,40
12/11/59,45
13/11/59,35
14/11/59,35
15/11/59,40
16/11/59,39
17/11/59,33
18/11/59,42
19/11/59,47
20/11/59,51
21/11/59,44
22/11/59,40
23/11/59,57
24/11/59,49
25/11/59,45
26/11/59,49
27/11/59,51
28/11/59,46
29/11/59,44
30/11/59,52
1/12/59,45
2/12/59,32
3/12/59,46
4/12/59,41
5/12/59,34
6/12/59,33
7/12/59,36
8/12/59,49
9/12/59,43
10/12/59,43
11/12/59,34
12/12/59,39
13/12/59,35
14/12/59,52
15/12/59,47
16/12/59,52
17/12/59,39
18/12/59,40
19/12/59,42
20/12/59,42
21/12/59,53
22/12/59,39
23/12/59,40
24/12/59,38
25/12/59,44
26/12/59,34
27/12/59,37
28/12/59,52
29/12/59,48
30/12/59,55
31/12/59,50
