step,enhanced_speed,cadence,max_heart_rate_perct,power
0,25.572,66,0.7162,160
1,25.7256,66,0.719733333,145.6666667
2,25.3956,66,0.7268,127.3333333
3,24.5208,65,0.732,117
4,24.4368,67.66666667,0.7268,109.3333333
5,23.1984,69.33333333,0.725033333,127.6666667
6,21.9828,67.33333333,0.7215,109
7,21.306,64.33333333,0.7268,114
8,21.5544,61.66666667,0.7268,103.3333333
9,20.7384,60.33333333,0.7268,105
10,19.7112,63.33333333,0.719733333,89.33333333
11,20.2044,64,0.712733333,119
12,20.4912,66.66666667,0.711,171.3333333
13,21.198,66.33333333,0.712733333,160.6666667
14,19.128,53,0.714466667,114
15,22.6236,67.66666667,0.707466667,111.3333333
16,23.7348,69.33333333,0.712733333,160.6666667
17,24.3456,70.33333333,0.7215,128
18,24.534,71,0.728533333,131.3333333
19,24.654,71,0.7373,131.6666667
20,24.4128,71,0.7373,125.6666667
21,24.6324,70.33333333,0.7373,138.3333333
22,24.6696,71,0.7373,138
23,24.666,71,0.7373,140.6666667
24,23.9616,71,0.732,130.3333333
25,24.5616,71,0.733766667,153.3333333
26,25.086,73.33333333,0.7373,163.3333333
27,25.926,74.66666667,0.7373,130.3333333
28,26.076,75.33333333,0.7373,133.6666667
29,26.8692,77.66666667,0.7373,169.3333333
30,28.0884,81,0.7426,177
31,28.9488,80.66666667,0.739066667,142.3333333
32,28.6848,80.66666667,0.735533333,98.33333333
33,28.5204,83,0.733766667,154
34,28.0344,82.66666667,0.7268,161
35,27.2604,80,0.7268,139
36,26.778,78,0.7268,159.6666667
37,26.352,77,0.732,159.6666667
38,26.586,77,0.730266667,158.6666667
39,26.976,77.33333333,0.7268,152.6666667
40,27.4584,79.33333333,0.7215,125.3333333
41,27.882,80,0.717966667,131
42,28.722,83,0.7162,133.3333333
43,29.8872,85.66666667,0.7162,182.3333333
44,29.916,87,0.711,149
45,29.664,87,0.712733333,136
46,29.1216,83,0.7285,127.3333333
47,27.8616,81.33333333,0.730266667,99.33333333
48,27.5424,80,0.7215,166.3333333
49,27.276,80,0.723266667,195.6666667
50,27.9036,80,0.728533333,198.3333333
51,28.08,80,0.732,190.6666667
52,27.7308,80,0.7373,180
53,27.636,80,0.7426,182
54,27.7692,80,0.746066667,184
55,27.9768,80,0.751333333,181.6666667
56,27.8736,80,0.7531,166.6666667
57,27.8112,80,0.7584,136
58,27.342,80,0.756633333,144
59,27.1836,80,0.747833333,163.3333333
60,27.4224,80,0.739066667,155
61,27.7584,80,0.740833333,118.3333333
62,28.2792,81.33333333,0.744333333,168.6666667
63,28.2336,83,0.7478,158
64,28.3272,83,0.7478,158.6666667
65,28.2852,83,0.7426,137.6666667
66,28.0896,81,0.7426,122
67,27.9552,80,0.7426,118
68,27.9468,80,0.746066667,147.6666667
69,27.7236,80,0.7478,120.6666667
70,27.1212,79.33333333,0.744333333,110.3333333
71,26.4816,57,0.7426,95.33333333
