step,enhanced_speed,cadence,max_heart_rate_perct,power,power_prediction
0,25.572,66.0,0.7162,160.0,133.78227804767465
1,25.7256,66.0,0.719733333,145.6666667,134.09103629321328
2,25.3956,66.0,0.7268,127.3333333,136.57918379808586
3,24.5208,65.0,0.732,117.0,135.48858640700394
4,24.4368,67.66666667,0.7268,109.3333333,147.35522853141174
5,23.1984,69.33333333,0.725033333,127.6666667,158.57225482473154
6,21.9828,67.33333333,0.7215,109.0,151.82766488970327
7,21.306,64.33333333,0.7268,114.0,140.62374880207204
8,21.5544,61.66666667,0.7268,103.3333333,127.1564536284908
9,20.7384,60.33333333,0.7268,105.0,123.18295520457752
10,19.7112,63.33333333,0.719733333,89.33333333,139.0094701469847
11,20.2044,64.0,0.712733333,119.0,139.2410659777289
12,20.4912,66.66666667,0.711,171.3333333,150.76449787851539
13,21.198,66.33333333,0.712733333,160.6666667,147.46995810868304
14,19.128,53.0,0.714466667,114.0,90.22920941534142
15,22.6236,67.66666667,0.707466667,111.3333333,148.52149437935714
16,23.7348,69.33333333,0.712733333,160.6666667,154.352987896686
17,24.3456,70.33333333,0.7215,128.0,159.2215072310483
18,24.534,71.0,0.728533333,131.3333333,163.36513523049985
19,24.654,71.0,0.7373,131.6666667,164.8977234060693
20,24.4128,71.0,0.7373,125.6666667,165.60581529035733
21,24.6324,70.33333333,0.7373,138.3333333,161.7766180411736
22,24.6696,71.0,0.7373,138.0,164.85192641852825
23,24.666,71.0,0.7373,140.6666667,164.8624949541147
24,23.9616,71.0,0.732,130.3333333,165.79088133051232
25,24.5616,71.0,0.733766667,153.3333333,164.40930005556208
26,25.086,73.33333333,0.7373,163.3333333,174.77530708849997
27,25.926,74.66666667,0.7373,130.3333333,178.67834860850405
28,26.076,75.33333333,0.7373,133.6666667,181.4225094897174
29,26.8692,77.66666667,0.7373,169.3333333,190.23971681608157
30,28.0884,81.0,0.7426,177.0,203.72261264736488
31,28.9488,80.66666667,0.739066667,142.3333333,198.84479194633707
32,28.6848,80.66666667,0.735533333,98.33333333,198.86013524377654
33,28.5204,83.0,0.733766667,154.0,210.10873188057553
34,28.0344,82.66666667,0.7268,161.0,208.44536129147082
35,27.2604,80.0,0.7268,139.0,197.9795301766561
36,26.778,78.0,0.7268,159.6666667,189.842164257758
37,26.352,77.0,0.732,159.6666667,187.434022763573
38,26.586,77.0,0.730266667,158.6666667,186.3743935870716
