step,enhanced_speed,cadence,grade,enhanced_altitude,max_heart_rate_perct,power,power_prediction
0,25.6488,66.0,0.0,9.633333333,0.717966667,1.910416667,1.6720954394558798
1,22.64016,66.28333333,0.4285,11.45,0.723266667,1.55875,1.7692422359916917
2,26.66928,77.08333333,0.0,11.47,0.732473333,1.823541667,2.1925656534592592
3,28.12392,81.35,0.0,10.42666667,0.734668333,1.993333333,2.403576618384253
4,22.22497241,48.01724138,0.0,10.59310345,0.720237931,0.875431034,0.8148082348482681
5,12.91011429,51.57142857,0.005714286,10.54285714,0.660542857,1.348214286,0.834014143254981
6,29.32088571,84.92857143,0.0,9.904761905,0.765264286,2.65327381,2.5844340460456663
7,31.22874,84.03333333,0.0,10.08,0.788301667,2.2225,2.5749649511858617
8,29.901,86.73333333,0.0,10.09666667,0.777585,2.272083333,2.6760890117317193
9,22.10485714,73.52380952,0.0,10.21904762,0.727388095,2.115178571,1.9620541910138036
10,29.82912,86.65,0.0,10.71,0.77223,2.044791667,2.6722144733714344
11,29.43138,80.11666667,0.0,11.33333333,0.75512,2.180833333,2.371683189797905
12,32.16186,87.43333333,0.0,11.99333333,0.780141667,2.356875,2.7455918704057907
13,32.09388,83.05,0.0,11.82666667,0.799636667,2.332083333,2.5489603466281934
14,32.20392,82.7,0.0,12.18,0.784706667,2.266875,2.5339576907013535
15,34.05306,82.23333333,0.0,12.21666667,0.820516667,2.744375,2.5440692732732875
16,32.99196,85.63333333,0.0,12.50666667,0.814635,2.300208333,2.6818560374563396
17,32.47854,84.23333333,0.0,12.68,0.795233333,2.389166667,2.60950798472552
18,34.04106,87.58333333,0.0,12.86666667,0.78857,2.422916667,2.782864965367114
19,33.4914,84.55,0.0,12.64333333,0.794178333,2.316458333,2.6382970203064526
20,35.77128,86.55,0.0,12.68,0.800586667,2.741666667,2.7624049277518874
21,29.06196,65.68333333,0.0,9.693333333,0.794451667,1.792291667,1.7164805732542443
22,30.3753,70.06666667,0.0,8.506666667,0.772755,1.946875,1.9275695732763376
23,31.73394,84.18333333,0.0,8.263333333,0.792423333,2.546875,2.5849749534326736
24,31.17972,89.78333333,0.0,10.40666667,0.823321667,2.797708333,2.8381676858049754
25,34.02786,90.0,0.051666667,12.68333333,0.8378,2.581041667,2.9116024106253895
26,35.81166,91.86666667,0.0,13.50666667,0.82839,2.618125,3.007811159011655
27,34.2291,94.65,0.970833333,19.31,0.858085,3.617708333,3.4068324669758794
28,38.4963,79.65,-0.243833333,18.19333333,0.861325,2.351041667,2.442126223373316
29,34.227,89.41666667,0.965333333,24.42666667,0.881345,3.187708333,3.1850267234473395
30,40.1886,81.38333333,-0.883,19.77,0.840965,2.22,2.3630283519385142
31,38.64516,75.31666667,-0.649333333,17.30666667,0.81323,1.836666667,2.1249080216361667
32,36.09666,81.25,0.195833333,15.56333333,0.819803333,2.426458333,2.594047741202622
33,39.06282,88.98333333,-0.8465,10.20333333,0.799626667,2.599583333,2.6706467042066477
34,31.01766,91.56666667,1.506333333,16.52,0.875031667,3.444791667,3.369807550773207
35,20.62615135,62.37837838,0.887027027,21.79459459,0.883208108,1.905405405,1.740135697630445
36,29.74235294,75.88235294,-0.132352941,20.35294118,0.711894118,2.421323529,2.1651803725954615
37,40.37868,73.03333333,-1.42,14.46666667,0.814986667,1.68875,1.8191494667816306
38,38.16606,86.35,1.212333333,12.07,0.830853333,3.23375,3.138113999377403
39,38.62554,80.63333333,-0.2955,14.14333333,0.83438,2.200833333,2.4601675034407067
40,37.17258,85.33333333,0.506666667,17.97666667,0.842111667,2.671458333,2.891520393130237
41,35.93682,87.88333333,1.124833333,19.99333333,0.833598333,3.227916667,3.1699166313770664
42,43.58154,80.8,-0.861666667,20.43666667,0.864926667,1.692708333,2.3966853701634343
43,42.20844,81.2,0.314,16.81333333,0.84413,2.599375,2.720591214730796
44,45.33636,82.93333333,-0.771,11.42666667,0.842891667,2.369583333,2.519111865005262
45,44.09184,86.2,-0.104,9.256666667,0.848696667,3.090625,2.834793745335945
46,43.59012,84.35,-0.304833333,5.916666667,0.829215,2.107708333,2.6758514873960135
47,32.20962,72.38333333,-0.001166667,4.353333333,0.777331667,1.401041667,2.0483633667324472
48,28.65282,77.83333333,0.0,4.87,0.818491667,2.947916667,2.248535750681276
49,37.13994,91.88333333,0.156,8.33,0.875465,4.042916667,3.065061741954152
50,42.63096,85.43333333,0.0,9.3,0.909778333,3.245625,2.8160127019128125
51,43.79604,86.9,0.0,9.24,0.893091667,3.00625,2.8969604508651483
52,44.62614,87.4,0.0,9.193333333,0.882303333,2.680416667,2.930199738554879
53,36.10176,78.98333333,0.0,9.123333333,0.834731667,2.532083333,2.4213135248989484
54,41.85048,91.85,0.0,9.8,0.871595,3.602291667,3.0905835531437442
55,39.4317,77.66666667,0.0,10.01,0.876065,2.189375,2.417455545674486
56,32.34012,84.2,0.0,10.2,0.80313,4.254166667,2.6006598503733627
57,41.349,81.36666667,0.0,10.26333333,0.881351667,2.805208333,2.613291485050317
58,43.70772,89.3,0.0,10.33666667,0.880123333,2.666041667,3.005061853368248
59,43.89186,82.31666667,0.0,9.713333333,0.865006667,2.39375,2.689814736315181
60,31.91964,68.25,0.0,9.81,0.841581667,2.121875,1.8794322044232894
61,38.17073077,91.55769231,0.0,9.792307692,0.839380769,4.402644231,3.020132425768294
62,43.63272,90.38333333,0.0,10.58666667,0.893881667,2.61625,3.0549959861110856
63,42.71334,86.56666667,0.0,10.56,0.866851667,2.519791667,2.866481571368572
64,44.85528,84.68333333,0.0,9.826666667,0.843245,2.664583333,2.8082246767216827
65,41.67774,80.41666667,0.0,9.07,0.832718333,3.292708333,2.566650164900104
66,32.1897,66.6,0.0,8.91,0.877395,2.99375,1.810899138396274
67,43.5414,92.7,0.0,9.14,0.896886667,3.22375,3.1547409532890405
68,42.86058,85.23333333,0.0,9.393333333,0.878533333,2.767083333,2.806967412482208
69,42.62358,88.38333333,0.0,10.04333333,0.858336667,2.50625,2.9447340161918842
70,41.37198,85.38333333,0.0,11.78666667,0.844488333,2.684375,2.7941584392548937
71,36.91332,77.36666667,0.0,12.09666667,0.81525,2.381666667,2.365524205626587
72,42.8328,97.51666667,-0.179666667,13.15333333,0.886436667,3.15875,3.3187669966293734
73,45.58746,87.01666667,-0.227666667,10.48,0.876338333,2.058541667,2.864132264012881
74,31.76376,88.23333333,3.0545,16.44,0.873968333,4.498958333,3.6744580102747686
75,19.29504,89.6,6.978833333,42.87,0.94569,5.128958333,4.755653845823183
76,31.87536,97.08333333,1.211,55.67,0.964988333,3.385416667,3.6550488937643233
77,44.45238,96.28333333,-1.5825,49.23,0.925766667,2.955416667,2.9795770508602364
78,38.87304,100.0166667,0.684333333,39.96666667,0.905841667,3.967083333,3.6914941927239284
79,28.6956,94.71666667,2.381333333,51.76333333,0.928646667,4.098333333,3.8239850210451487
80,31.41288,93.83333333,1.045,63.17333333,0.947798333,3.313125,3.4711719827709646
81,26.51016,95.23333333,3.404166667,68.44666667,0.94085,4.428333333,4.152416732502681
82,22.16592,89.23333333,2.94,84.45666667,0.94535,3.284166667,3.7265294402934273
83,24.24264,90.83333333,2.614666667,94.23666667,0.923216667,3.717916667,3.7575337973295535
84,27.68392653,77.10204082,0.244285714,102.8816327,0.928083673,2.232908163,2.531071824240646
85,32.65398,83.85,-0.5335,97.22,0.84965,2.449583333,2.660861847784101
86,40.53216,64.8,-2.112666667,86.59,0.80147,1.77,1.4317339357621126
87,27.55549091,69.48484848,-0.467272727,74.89090909,0.738890909,2.443560606,1.8894850870497284
88,36.35976,86.6,0.070833333,72.83,0.834293333,3.3775,2.948910216426596
89,34.6902,89.08333333,0.920833333,80.79,0.894955,2.697291667,3.3074832683470707
90,46.34843478,78.76086957,-2.20173913,71.10434783,0.850197826,1.820652174,2.086392336971519
91,36.68868679,94.24528302,0.938679245,41.90943396,0.820762264,4.300707547,3.467754119368647
