step,enhanced_speed,cadence,max_heart_rate_perct,power,power_prediction,residual,power_predict
0,25.6488,66.0,0.717966667,1.910416667,1,0.39454339796622784,1.5158732690337722
1,22.64016,66.28333333,0.723266667,1.55875,1,0.013151621273918446,1.5455983787260816
2,26.66928,77.08333333,0.732473333,1.823541667,2,-0.25991098669772383,2.083452653697724
3,28.12392,81.35,0.734668333,1.993333333,2,-0.29815309924473277,2.291486432244733
4,22.22497241,48.01724138,0.720237931,0.875431034,0,0.20079121505515207,0.6746398189448479
5,12.91011429,51.57142857,0.660542857,1.348214286,0,0.69019370837817,0.65802057762183
6,29.32088571,84.92857143,0.765264286,2.65327381,2,0.09854145016999061,2.5547323598300093
7,31.22874,84.03333333,0.788301667,2.2225,2,-0.36111705693413443,2.5836170569341346
8,29.901,86.73333333,0.777585,2.272083333,2,-0.40581163396276887,2.6778949669627687
9,22.10485714,73.52380952,0.727388095,2.115178571,1,0.21532558915059674,1.8998529818494032
10,29.82912,86.65,0.77223,2.044791667,2,-0.6126423887632546,2.6574340557632548
11,29.43138,80.11666667,0.75512,2.180833333,2,-0.11560817165844561,2.2964415046584454
12,32.16186,87.43333333,0.780141667,2.356875,2,-0.3619309312097254,2.7188059312097255
13,32.09388,83.05,0.799636667,2.332083333,2,-0.24013947078706366,2.5722228037870636
14,32.20392,82.7,0.784706667,2.266875,2,-0.24275165820231193,2.509626658202312
15,34.05306,82.23333333,0.820516667,2.744375,2,0.14622080863831322,2.5981541913616866
16,32.99196,85.63333333,0.814635,2.300208333,2,-0.4401676076496961,2.740375940649696
17,32.47854,84.23333333,0.795233333,2.389166667,2,-0.22528138692895228,2.6144480539289523
18,34.04106,87.58333333,0.78857,2.422916667,2,-0.3289817557396355,2.7518984227396355
19,33.4914,84.55,0.794178333,2.316458333,2,-0.3096702206180719,2.626128553618072
20,35.77128,86.55,0.800586667,2.741666667,2,0.0014167866208651958,2.740249880379135
21,29.06196,65.68333333,0.794451667,1.792291667,1,0.05525770974002309,1.737033957259977
22,30.3753,70.06666667,0.772755,1.946875,1,0.07005413332205057,1.8768208666779493
23,31.73394,84.18333333,0.792423333,2.546875,2,-0.05654050815865164,2.6034155081586516
24,31.17972,89.78333333,0.823321667,2.797708333,2,-0.1652370440076112,2.9629453770076113
25,34.02786,90.0,0.8378,2.581041667,3,-0.43681631004381893,3.017857977043819
26,35.81166,91.86666667,0.82839,2.618125,3,-0.45873614340045554,3.0768611434004556
27,34.2291,94.65,0.858085,3.617708333,3,0.3178936528917209,3.299814680108279
28,38.4963,79.65,0.861325,2.351041667,2,-0.2512262628143631,2.602267929814363
29,34.227,89.41666667,0.881345,3.187708333,3,0.06294918051984544,3.1247591524801543
30,40.1886,81.38333333,0.840965,2.22,2,-0.4011807580673592,2.6211807580673594
31,38.64516,75.31666667,0.81323,1.836666667,2,-0.412736354909333,2.249403021909333
32,36.09666,81.25,0.819803333,2.426458333,2,-0.12311019064533912,2.549568523645339
33,39.06282,88.98333333,0.799626667,2.599583333,2,-0.25248320298625115,2.852066535986251
34,31.01766,91.56666667,0.875031667,3.444791667,3,0.23810559964142897,3.206686067358571
35,20.62615135,62.37837838,0.883208108,1.905405405,1,0.050287836094346394,1.8551175689056536
36,29.74235294,75.88235294,0.711894118,2.421323529,1,0.45804594707461943,1.9632775819253805
37,40.37868,73.03333333,0.814986667,1.68875,2,-0.4583710398181624,2.1471210398181624
38,38.16606,86.35,0.830853333,3.23375,2,0.40950539990683366,2.8242446000931665
39,38.62554,80.63333333,0.83438,2.200833333,2,-0.364643102336375,2.565476435336375
40,37.17258,85.33333333,0.842111667,2.671458333,2,-0.13958302787723742,2.8110413608772373
41,35.93682,87.88333333,0.833598333,3.227916667,2,0.32287151640623346,2.9050451505937667
42,43.58154,80.8,0.864926667,1.692708333,2,-0.9749227650395385,2.6676310980395384
43,42.20844,81.2,0.84413,2.599375,2,-0.02292783165128842,2.6223028316512886
44,45.33636,82.93333333,0.842891667,2.369583333,2,-0.33065806811071763,2.7002414011107176
45,44.09184,86.2,0.848696667,3.090625,2,0.21837616397027304,2.872248836029727
46,43.59012,84.35,0.829215,2.107708333,2,-0.617139223763064,2.724847556763064
47,32.20962,72.38333333,0.777331667,1.401041667,2,-0.5991835701759254,2.0002252371759255
48,28.65282,77.83333333,0.818491667,2.947916667,2,0.5635608061932627,2.3843558608067372
49,37.13994,91.88333333,0.875465,4.042916667,3,0.8199558378794825,3.2229608291205176
50,42.63096,85.43333333,0.909778333,3.245625,3,0.22098972062172928,3.0246352793782707
51,43.79604,86.9,0.893091667,3.00625,3,-0.03605850975722147,3.0423085097572216
52,44.62614,87.4,0.882303333,2.680416667,3,-0.3521747990071211,3.032591466007121
53,36.10176,78.98333333,0.834731667,2.532083333,2,0.0433516502628053,2.488731682737195
54,41.85048,91.85,0.871595,3.602291667,3,0.3928492811820594,3.2094423858179404
55,39.4317,77.66666667,0.876065,2.189375,2,-0.36483952853813006,2.55421452853813
56,32.34012,84.2,0.80313,4.254166667,2,1.6169151059283893,2.6372515610716105
57,41.349,81.36666667,0.881351667,2.805208333,2,0.06014610671747134,2.7450622262825286
58,43.70772,89.3,0.880123333,2.666041667,3,-0.4494432287829384,3.1154848957829384
59,43.89186,82.31666667,0.865006667,2.39375,2,-0.34566902573031744,2.7394190257303173
60,31.91964,68.25,0.841581667,2.121875,2,0.1182883945260822,2.003586605473918
61,38.17073077,91.55769231,0.839380769,4.402644231,3,1.3064305012648183,3.0962137297351817
62,43.63272,90.38333333,0.893881667,2.61625,3,-0.5928055253868494,3.2090555253868494
63,42.71334,86.56666667,0.866851667,2.519791667,2,-0.42579457458209946,2.9455862415820993
64,44.85528,84.68333333,0.843245,2.664583333,2,-0.1192960384787396,2.7838793714787395
65,41.67774,80.41666667,0.832718333,3.292708333,2,0.7425813560833125,2.5501269769166877
66,32.1897,66.6,0.877395,2.99375,2,0.9574432599862397,2.03630674001376
67,43.5414,92.7,0.896886667,3.22375,3,-0.10385839415199882,3.3276083941519987
68,42.86058,85.23333333,0.878533333,2.767083333,2,-0.1516693045373425,2.9187526375373425
69,42.62358,88.38333333,0.858336667,2.50625,3,-0.49874364548602745,3.0049936454860275
70,41.37198,85.38333333,0.844488333,2.684375,2,-0.13636126905872636,2.8207362690587265
71,36.91332,77.36666667,0.81525,2.381666667,2,0.02932995868645838,2.352336708313542
72,42.8328,97.51666667,0.886436667,3.15875,3,-0.3638023710596032,3.522552371059603
