step,enhanced_speed,cadence,grade,enhanced_altitude,max_heart_rate_perct,power
0,26.1936,66,0,9.6,0.7162,2.075
1,24.858,66,0,9.6,0.7162,2.0125
2,25.6644,66,0,9.6,0.7162,1.9125
3,25.7004,66,0,9.6,0.7162,1.8375
4,25.7868,66,0,9.6,0.7215,1.825
5,25.6896,66,0,9.8,0.7215,1.8
6,25.7076,66,0,9.8,0.7268,1.6875
7,25.5744,66,0,9.8,0.7268,1.5625
8,24.9048,66,0,9.8,0.7268,1.525
9,24.2892,66,0,10,0.732,1.4875
10,24.66,65,0,10,0.732,1.4625
11,24.6132,64,0,10,0.732,1.4375
12,24.2028,65,0,10.2,0.7268,1.4
13,24.3324,67,0,10.2,0.7268,1.35
14,24.7752,71,0,10.2,0.7268,1.35
15,24.3936,71,0,10.4,0.7268,1.6125
16,22.7736,69,0,10.4,0.7268,1.7625
17,22.428,68,0,10.4,0.7215,1.4125
18,21.9348,66,0,10.6,0.7215,1.25
19,22.0068,68,0.19,10.8,0.7215,1.3
20,22.0068,68,1.12,10.8,0.7215,1.5375
21,21.996,66,1.22,10.8,0.7268,1.4875
22,20.9952,64,1.32,11,0.7268,1.4125
23,20.9268,63,1.34,11,0.7268,1.375
24,21.87,62,1.28,11,0.7268,1.325
25,21.7368,62,1.2,11.2,0.7268,1.275
26,21.0564,61,1.11,11.2,0.7268,1.275
27,20.9772,61,1,11.2,0.7268,1.3125
28,20.8224,60,0.9,11.2,0.7268,1.3125
29,20.4156,60,0.86,11.4,0.7268,1.3125
30,20.3292,62,0.87,11.4,0.7215,1.275
31,19.9404,64,0.91,11.6,0.7215,1.075
32,18.864,64,0.97,11.6,0.7162,1
33,19.692,64,1.04,11.6,0.7162,0.925
34,20.52,64,1.07,11.6,0.711,1.45
35,20.4012,64,1.11,11.8,0.711,2.0875
36,20.1204,66,1.09,11.8,0.711,2.275
37,20.9556,67,1.06,12,0.711,2.1
38,20.3976,67,1.01,12,0.711,2.05
39,20.9304,66,0.99,12,0.711,2.1125
40,21.0492,67,1.03,12.2,0.711,2.05
41,21.6144,66,1.07,12.2,0.7162,1.8625
42,19.0548,58,1.08,12.2,0.7162,1.7125
43,19.782,50,0.87,12.2,0.7162,1.5625
44,18.5472,51,0,12.2,0.711,1
45,21.0816,63,0,12.2,0.711,1.1
46,22.9284,70,0,12.2,0.7057,1.4625
47,23.8608,70,0,12.2,0.7057,1.6125
48,23.5008,70,0,12.2,0.711,2.125
49,23.9832,69,0,12.2,0.711,2.0625
50,23.7204,69,0,12.2,0.7162,1.8375
51,24.2496,69,0,12.2,0.7215,1.6
52,24.228,71,0,12.2,0.7215,1.575
53,24.5592,71,0,12.2,0.7215,1.625
54,24.5016,71,0,12.2,0.7268,1.625
55,24.6096,71,0,12.2,0.7268,1.6375
56,24.4908,71,0,12,0.732,1.6625
57,24.5844,71,0,12.2,0.7373,1.6625
58,24.7212,71,0,12.2,0.7373,1.6625
59,24.6564,71,0,12.2,0.7373,1.6125
60,24.6384,71,0,12.2,0.7373,1.55
61,24.3108,71,0,12.2,0.7373,1.55
62,24.2892,71,0,12,0.7373,1.6125
63,24.768,69,0,12,0.7373,1.6875
64,24.3432,71,0,12,0.7373,1.7625
65,24.786,71,0,12,0.7373,1.7375
66,24.7788,71,0,12,0.7373,1.7
67,24.8076,71,0,12,0.7373,1.725
68,24.4224,71,0,12,0.7373,1.75
69,25.2036,71,0,12,0.7373,1.7875
70,24.8112,71,0,12,0.7373,1.7875
71,23.9832,71,0,12,0.7373,1.7
72,23.9616,71,0,12,0.732,1.6
73,24.012,71,0,12,0.732,1.6
74,23.9112,71,0,12,0.732,1.6875
75,24.3108,71,0,12,0.732,1.8
76,24.8868,71,0,12,0.732,1.9375
77,24.4872,71,0,12,0.7373,2.0125
78,24.5484,72,0,12,0.7373,2.0375
79,25.2936,74,0,12,0.7373,2.0625
80,25.416,74,0,11.8,0.7373,2.025
81,25.8948,74,0,11.8,0.7373,1.8875
82,25.9956,75,0,11.8,0.7373,1.6125
83,25.8876,75,0,12,0.7373,1.3875
84,25.7652,74,0,12,0.7373,1.375
85,26.2152,75,0,11.8,0.7373,1.6125
86,26.2476,77,0,11.8,0.7373,2.025
87,26.3772,77,0,11.6,0.7373,2.1875
88,26.9568,77,0,11.6,0.7373,2.075
89,27.2736,79,0,11.6,0.7373,2.0875
90,27.7884,80,0,11.4,0.7426,2.2125
91,27.882,80,0,11.4,0.7426,2.2625
92,28.5948,83,0,11.4,0.7426,2.1625
93,28.7244,83,0,11.4,0.7426,1.975
94,29.1312,82,0,11.2,0.7373,1.75
95,28.9908,77,0,11.2,0.7373,1.6125
96,28.7172,76,0,11,0.732,0.9875
97,28.6524,83,0,11,0.7373,1.1125
98,28.6848,83,0,11,0.7373,1.5875
99,28.6272,83,0,11,0.7373,1.825
100,28.2924,83,0,11,0.732,1.9
101,28.6416,83,0,11,0.732,2.05
102,28.2672,83,0,11,0.7268,2.0875
103,27.954,83,0,11,0.7268,2.0375
104,27.882,82,0,11,0.7268,1.9125
105,27.4608,80,0,11,0.7268,1.7625
106,27.324,80,0,11,0.7268,1.7
107,26.9964,80,0,11,0.7268,1.75
108,26.9712,79,0,11,0.7268,1.9
109,26.8416,78,0,11,0.7268,2.0625
110,26.5212,77,0,11,0.7268,2.025
111,26.4168,77,0,11.2,0.732,1.975
112,26.334,77,0,11.2,0.732,2.05
113,26.3052,77,0,11.4,0.732,1.9625
114,26.2908,77,0,11.4,0.732,1.8
115,26.766,77,0,11.4,0.732,1.9375
116,26.7012,77,0,11.4,0.7268,2.2125
117,26.7912,77,0,11.6,0.7268,2.1375
