,step,actual,predicted,,step,power,,,step,,actual,predicted
0,1,2.0125,1.754,,0,2.075,,,1,1,2.0125,1.7540
1,2,1.9125,1.8885,,1,2.0125,,,2,1,1.9125,1.8885
2,3,1.8375,1.920875,,2,1.9125,,,3,1,1.8375,1.9209
3,4,1.825,1.7265,,3,1.8375,,,4,2,1.8250,1.7470
4,4,1.825,1.7675,,4,1.825,,,5,1,1.8000,1.6439
5,5,1.8,1.643875,,5,1.8,,,6,2,1.6875,1.6586
6,6,1.6875,1.702,,6,1.6875,,,7,3,1.5625,1.7185
7,6,1.6875,1.615125,,7,1.5625,,,9,2,1.4875,1.4739
8,7,1.5625,1.71375,,8,1.525,,,10,2,1.4625,1.4139
9,7,1.5625,1.72975,,9,1.4875,,,11,1,1.4375,1.4151
10,7,1.5625,1.712125,,10,1.4625,,,12,1,1.4000,1.3815
11,9,1.4875,1.464,,11,1.4375,,,14,2,1.3500,1.6296
12,9,1.4875,1.48375,,12,1.4,,,16,1,1.7625,1.4491
13,10,1.4625,1.410375,,13,1.35,,,17,1,1.4125,1.5229
14,10,1.4625,1.417375,,14,1.35,,,18,1,1.2500,1.4696
15,11,1.4375,1.415125,,15,1.6125,,,20,1,1.5375,1.4186
16,12,1.4,1.3815,,16,1.7625,,,21,1,1.4875,1.5217
17,14,1.35,1.637125,,17,1.4125,,,22,2,1.4125,1.4578
18,14,1.35,1.622125,,18,1.25,,,23,2,1.3750,1.3765
19,16,1.7625,1.449125,,19,1.3,,,24,1,1.3250,1.3795
20,17,1.4125,1.522875,,20,1.5375,,,25,1,1.2750,1.3533
21,18,1.25,1.469625,,21,1.4875,,,26,3,1.2750,1.3773
22,20,1.5375,1.418625,,22,1.4125,,,27,2,1.3125,1.3281
23,21,1.4875,1.52175,,23,1.375,,,29,2,1.3125,1.3101
24,22,1.4125,1.461125,,24,1.325,,,30,3,1.2750,1.2820
25,22,1.4125,1.4545,,25,1.275,,,31,1,1.0750,1.2150
26,23,1.375,1.378375,,26,1.275,,,32,1,1.0000,1.4744
27,23,1.375,1.374625,,27,1.3125,,,33,1,0.9250,1.5211
28,24,1.325,1.3795,,28,1.3125,,,34,2,1.4500,1.6277
29,25,1.275,1.35325,,29,1.3125,,,38,2,2.0500,2.0737
30,26,1.275,1.364625,,30,1.275,,,39,1,2.1125,2.0145
31,26,1.275,1.3495,,31,1.075,,,40,1,2.0500,2.0537
32,26,1.275,1.41775,,32,1,,,41,2,1.8625,1.8327
33,27,1.3125,1.352625,,33,0.925,,,42,1,1.7125,1.2159
34,27,1.3125,1.303625,,34,1.45,,,43,1,1.5625,1.2490
35,29,1.3125,1.316875,,35,2.0875,,,44,1,1.0000,1.4355
36,29,1.3125,1.30325,,36,2.275,,,45,1,1.1000,1.8034
37,30,1.275,1.315,,37,2.1,,,46,1,1.4625,1.8206
38,30,1.275,1.26825,,38,2.05,,,47,2,1.6125,1.7756
39,30,1.275,1.262625,,39,2.1125,,,48,2,2.1250,1.7339
40,31,1.075,1.215,,40,2.05,,,49,3,2.0625,1.7851
41,32,1,1.474375,,41,1.8625,,,50,2,1.8375,1.8438
42,33,0.925,1.521125,,42,1.7125,,,51,1,1.6000,1.6541
43,34,1.45,1.692875,,43,1.5625,,,53,1,1.6250,1.6582
