,step,actual,predicted
0,0.0,1.910416667,1.484486037450001
1,1.0,1.55875,1.5660770226500014
2,2.0,1.823541667,1.9235270347100002
3,3.0,1.993333333,2.162550506130002
4,4.0,0.875431034,0.9188915416099998
5,5.0,1.348214286,1.2051826940300003
6,6.0,2.65327381,2.6090050598000016
7,7.0,2.2225,2.4058809524099987
8,8.0,2.272083333,2.4647145832300037
9,9.0,2.115178571,1.9533846221400009
10,10.0,2.044791667,2.482081845170003
11,11.0,2.180833333,2.203821038090001
12,12.0,2.356875,2.4999577380400018
13,13.0,2.332083333,2.494404166490002
14,14.0,2.266875,2.3143791666299993
15,15.0,2.744375,2.5972916666399977
16,16.0,2.300208333,2.4691119046000005
17,17.0,2.389166667,2.587780655020004
18,18.0,2.422916667,2.4422645834300014
19,19.0,2.316458333,2.356299404610003
20,20.0,2.741666667,2.650889583580002
21,21.0,1.792291667,1.7360538189400003
22,22.0,1.946875,1.8744696074300011
23,23.0,2.546875,2.7677023810199994
24,24.0,2.797708333,2.889610668360001
25,25.0,2.581041667,2.7696439104699975
26,26.0,2.618125,3.690366025799999
27,27.0,3.617708333,3.626916025529998
28,28.0,2.351041667,2.3080466486700018
29,29.0,3.187708333,3.049591666549997
30,30.0,2.22,2.1573333332600004
31,31.0,1.836666667,1.9564741108600014
32,32.0,2.426458333,2.4765374997599996
33,33.0,2.599583333,2.6073993587899995
34,34.0,3.444791667,3.5217834938400023
35,35.0,1.905405405,1.7788447141400017
36,36.0,2.421323529,1.8958899464500005
37,37.0,1.68875,1.78080460196
38,38.0,3.23375,3.0590062500799946
39,39.0,2.200833333,2.293141666469999
40,40.0,2.671458333,2.739810416680001
41,41.0,3.227916667,3.207437500259994
42,42.0,1.692708333,1.8637073367200025
43,43.0,2.599375,2.5687541666100024
44,44.0,2.369583333,2.3052380432500015
45,45.0,3.090625,2.6356252975999994
46,46.0,2.107708333,2.4136354164400013
47,47.0,1.401041667,1.9159517139299993
48,48.0,2.947916667,2.6945848875699965
49,49.0,4.042916667,3.8561293272199966
50,50.0,3.245625,3.104402083329999
51,51.0,3.00625,2.930731250079999
52,52.0,2.680416667,2.7448854169
53,53.0,2.532083333,2.707672916550001
54,54.0,3.602291667,3.539835577199996
55,55.0,2.189375,2.2819116071200027
56,56.0,4.254166667,3.687314583549997
57,57.0,2.805208333,2.787158604809999
58,58.0,2.666041667,2.74626458356
59,59.0,2.39375,2.4867773549900027
60,60.0,2.121875,2.0319600340599977
61,61.0,4.402644231,4.105863942520002
62,62.0,2.61625,2.7030312500500004
63,63.0,2.519791667,2.5860250001899967
64,64.0,2.664583333,2.7316687497699985
65,65.0,3.292708333,2.910450271510003
66,66.0,2.99375,1.7897017721799997
67,67.0,3.22375,3.3127993590899973
68,68.0,2.767083333,2.8616499998799982
69,69.0,2.50625,2.8420097756899985
70,70.0,2.684375,2.67178898808
71,71.0,2.381666667,2.269706496069998
72,72.0,3.15875,3.305797916799998
73,73.0,2.058541667,2.3086187502099973
74,74.0,4.498958333,3.942049999910001
75,75.0,5.128958333,4.6850270830900085
76,76.0,3.385416667,3.552666666880001
77,77.0,2.955416667,3.107500000260003
78,78.0,3.967083333,3.6805291665700004
79,79.0,4.098333333,3.8917187498800057
80,80.0,3.313125,3.566220833480001
81,81.0,4.428333333,4.092918749880007
82,82.0,3.284166667,3.6244020834800015
83,83.0,3.717916667,3.636818910350002
84,84.0,2.232908163,2.2343353072199985
85,85.0,2.449583333,2.447541869759999
86,86.0,1.77,1.7656510152900013
87,87.0,2.443560606,2.2067464253600027
88,88.0,3.3775,3.1541666666999992
89,89.0,2.697291667,2.8579833335300004
90,90.0,1.820652174,1.8944146794200016
91,91.0,4.300707547,3.7218955128199993
92,92.0,2.485,2.7463854166900035
93,93.0,3.478333333,3.16126123164
94,94.0,2.405208333,2.5958583331399967
95,95.0,1.327083333,1.45764688824
96,96.0,1.867708333,2.033034225989999
97,97.0,0.343548387,0.6386075072499992
98,98.0,2.118229167,1.3486014506000013
99,99.0,2.313541667,2.4159857145200028
100,100.0,2.223125,2.313773809550003
101,101.0,2.505833333,2.4626433905799994
102,102.0,2.352708333,2.5005895830800013
103,103.0,1.123922414,1.2816672171400016
104,104.0,2.82625,2.1361199255399996
105,105.0,3.986041667,3.743138301559999
106,106.0,3.223541667,3.3342062502700016
107,107.0,2.629375,2.7424306090400012
108,108.0,2.613541667,2.7811306548199974
109,109.0,3.388958333,3.137935416470002
110,110.0,3.678125,3.453308333320002
111,111.0,2.801041667,2.6643738094899994
112,112.0,3.122916667,3.4811072118200035
