step,distance,enhanced_speed,cadence,grade,max_heart_rate_perct,power
0,0.49782,0.4824,46,0,0.6341,2.0541
1,0.5014,13.3164,46,0,0.6394,1.2568
2,0.50535,14.2236,49,0,0.6394,0.8108
3,0.50931,14.1552,51,0,0.6394,1.2432
4,0.51325,14.1696,35,0,0.6394,1.1081
5,0.51741,15.1344,53,0,0.6394,0.4054
6,0.52168,15.9084,57,0,0.6394,1.4865
7,0.52626,16.0128,58,0,0.6394,1.2973
8,0.53066,16.5276,60,0,0.6394,1.1216
9,0.5356,17.046,61,0,0.6394,0.7973
10,0.54037,17.8524,64,0,0.6394,1.1351
11,0.54553,18.558,67,0,0.65,1.973
12,0.55074,18.8748,68,0,0.65,1.6622
13,0.55589,18.9828,69,0,0.65,0.8378
14,0.56157,19.4004,69,0,0.65,0.8649
15,0.56715,19.764,70,0,0.6447,1.0676
16,0.57274,19.656,71,0,0.65,1.2297
17,0.57832,19.638,71,0,0.65,0.9189
18,0.58388,19.9548,72,0,0.6553,1
19,0.58962,20.3724,73,0,0.6553,1.1892
20,0.59548,20.8044,75,0,0.6553,1.2162
21,0.60144,20.9196,77,0,0.6553,1.1351
22,0.6074,20.9988,76,0,0.6553,0.7838
23,0.61333,21.3192,77,0,0.6605,1.0811
24,0.61911,21.834,71,0,0.6605,1.3378
25,0.62559,21.906,70,0,0.6658,1.4054
26,0.63175,21.8556,70,0,0.6658,0.9595
27,0.63789,21.924,70,0,0.6711,0.9189
28,0.64415,22.2732,70,0,0.6711,0.973
29,0.65039,22.2408,71,0,0.6764,1.0135
30,0.65661,22.3236,71,0,0.6764,0.9189
31,0.66291,22.8636,72,0,0.6817,1.1351
32,0.66919,22.3956,72,0,0.6817,1.2162
33,0.67552,22.4388,73,0,0.687,1.0135
34,0.68178,22.9536,73,0,0.687,0.8514
35,0.68808,22.8168,73,0,0.687,0.6757
36,0.69461,22.8636,73,0,0.687,0.7568
37,0.70082,22.9392,73,0,0.6922,0.7432
38,0.7074,23.0544,74,0,0.6922,0.973
39,0.71384,23.1624,74,0,0.6922,0.8514
40,0.72017,23.166,74,0,0.6922,0.7703
41,0.72655,23.1948,74,0,0.6975,0.7973
42,0.7334,23.2092,74,0,0.6975,0.8378
43,0.73976,23.2452,74,0,0.6975,0.9865
44,0.74626,23.3172,74,0,0.6975,0.9865
45,0.75287,23.2632,74,0,0.6922,0.7838
46,0.75913,22.4928,74,0,0.6922,0.9595
47,0.76557,22.9068,74,0,0.687,0.8784
48,0.77191,22.6152,74,0,0.687,0.9324
49,0.77835,23.2632,75,0,0.6817,0.9324
50,0.78486,23.6196,75,0,0.6817,0.9865
51,0.79134,23.562,75,0,0.687,1
52,0.79813,22.9104,76,0,0.687,1.0541
53,0.80445,23.8932,76,0,0.6817,1.0811
54,0.8112,23.0544,76,0,0.6817,0.9595
55,0.8174,22.9788,76,0,0.6817,0.8649
56,0.82396,22.9716,0,0,0.6817,0
57,0.83039,22.5288,0,0,0.687,0
58,0.83657,22.8924,73,0,0.6817,0.1351
59,0.84303,22.2732,73,0,0.6817,0.7297
60,0.84905,21.5496,73,0,0.6764,0.7568
61,0.855,20.8008,8,0,0.6764,0.5405
62,0.86019,15.8688,0,0,0.6711,0
63,0.86444,16.92,0,0,0.6711,0
64,0.86965,20.3004,68,0,0.6764,0.6081
65,0.87555,22.0536,68,0,0.6764,2.1757
66,0.88207,23.5404,73,0,0.6764,2.8649
67,0.88865,24.4548,77,0,0.6711,2.3649
68,0.89586,25.704,80,0,0.6764,2.2568
69,0.90317,26.2656,83,0,0.6764,2.4189
70,0.91074,26.7588,85,0,0.6817,2.1757
71,0.91816,26.7444,86,0,0.6817,1.7568
72,0.92574,27.2772,82,0,0.6817,2.0811
73,0.93349,27.3492,80,0,0.6764,2.1757
74,0.9412,27.4212,79,-1.06,0.6764,1.9459
75,0.94894,27.4104,79,-1.3,0.6764,1.5811
76,0.95665,27.4788,79,-1.14,0.6711,1.6216
77,0.96439,27.558,79,-0.95,0.6711,1.8514
78,0.97225,27.594,80,-0.21,0.6658,1.8243
79,0.97995,27.6696,81,0,0.6658,1.6486
80,0.98778,27.7704,81,0,0.6658,1.8108
81,0.99558,27.7524,80,0,0.6658,1.3243
82,1.00334,27.6948,80,0,0.6658,1.3919
83,1.01113,27.378,79,0,0.6605,2.0946
84,1.01868,27.3528,79,0,0.6605,2.7297
85,1.0265,27.4824,80,0,0.6605,2.6622
86,1.03423,27.3672,80,0,0.6605,1.5676
87,1.04174,27.0468,78,0,0.6605,1.2027
88,1.04928,27.0036,78,0,0.6605,1.527
89,1.05702,26.8596,78,0,0.6605,1.8649
90,1.06439,26.514,76,0,0.6553,1.6757
91,1.07182,26.3808,76,0,0.6553,1.3378
92,1.07924,26.262,76,0,0.65,1.5541
93,1.08654,26.2512,76,0,0.65,1.6351
94,1.09397,26.2584,76,0,0.65,1.6892
95,1.10127,26.1756,75,0,0.6553,1.6892
96,1.10859,26.1576,76,0,0.65,1.7568
97,1.116,26.5644,76,0,0.65,1.6351
98,1.12337,26.6472,77,0,0.65,1.3378
99,1.13112,27.0792,78,0,0.6553,1.1486
100,1.13867,27.162,79,0,0.6553,0.7973
101,1.14622,27.4896,75,0,0.6605,0.6892
102,1.15393,27.5868,78,0,0.6605,0.6081
103,1.16164,27.8712,79,0,0.6553,0.7162
104,1.16943,27.8352,34,0,0.6553,0.7297
105,1.17724,27.8964,81,0,0.6553,0.473
106,1.1849,27.8424,78,0,0.6553,0.6892
107,1.19255,26.9064,78,0,0.6553,0.5676
108,1.20001,26.2872,42,0,0.6605,0.4595
109,1.20735,25.398,0,0,0.6605,0
110,1.21436,24.6024,69,0,0.6605,0.2297
111,1.22101,23.3964,52,0,0.6605,0.7297
112,1.2269,19.782,67,0,0.6605,0.473
113,1.23131,14.2992,68,0,0.6553,1.2432
114,1.23649,21.0204,69,0,0.6553,2.6081
115,1.24287,23.6268,70,0,0.6553,2.2973
116,1.24985,24.3324,70,0,0.6553,1.5405
117,1.25684,25.0524,72,0,0.6553,1.4865
118,1.26383,25.3476,73,0,0.65,1.5946
119,1.27119,25.416,73,0,0.6553,1.5676
120,1.27842,25.5492,74,0,0.6553,1.4595
121,1.28574,25.9344,74,0,0.6553,1.473
122,1.29307,25.5744,75,0,0.6605,1.7027
123,1.30047,25.9776,74,0,0.6605,2.1622
124,1.30783,25.8768,75,0,0.6658,1.8378
125,1.31513,25.7868,74,0,0.6764,1.5135
