,userID,date_AEST,distance,enhanced_avg_speed,avg_power,avg_wpkg,avg_heart_rate,avg_max_heart_rate_perct,enhanced_duration,weekend,day_of_week,hour,day_cat
0,U1000004,2022-04-09,85.96,28.59,217.01,2.93,152.87,0.81,03:00:23,True,7,4,MORNING
1,U1000000,2021-06-13,105.02,32.49,234.9,2.94,112.05,0.59,03:13:56,True,1,5,MORNING
2,U1000000,2021-10-24,72.85,28.61,238.43,2.98,163.38,0.86,02:32:47,True,1,5,MORNING
3,U1000000,2022-10-09,166.99,29.55,197.83,2.47,162.05,0.85,05:39:05,True,1,5,MORNING
4,U1000003,2022-09-04,59.13,30.82,273.25,3.37,159.82,0.84,01:55:07,True,1,5,MORNING
5,U1000004,2022-03-13,84.02,29.4,174.17,2.35,135.78,0.72,02:51:29,True,1,5,MORNING
6,U1000004,2022-05-01,155.03,31.92,232.35,3.14,155.35,0.82,04:51:24,True,1,5,MORNING
7,U1000009,2022-10-09,220.03,30.86,231.39,1.96,142.97,0.79,07:07:48,True,1,5,MORNING
8,U1000000,2021-12-27,120.95,29.12,222.67,2.78,149.98,0.79,04:09:13,False,2,5,MORNING
9,U1000004,2022-03-14,55.01,26.52,204.69,2.77,134.45,0.71,02:04:27,False,2,5,MORNING
10,U1000009,2021-08-02,20.52,22.53,243.18,2.06,135.12,0.74,00:54:38,False,2,5,MORNING
11,U1000009,2022-09-05,46.94,27.78,214.24,1.82,125.22,0.69,01:41:23,False,2,5,MORNING
12,U1000009,2022-09-19,46.82,26.22,213.74,1.81,127.83,0.7,01:47:09,False,2,5,MORNING
13,U1000009,2022-10-03,46.71,26.92,202.05,1.71,117.79,0.65,01:44:07,False,2,5,MORNING
14,U1000010,2021-01-11,41.27,25.61,167.61,1.95,127.39,0.75,01:36:41,False,2,5,MORNING
15,U1000000,2021-03-16,40.57,29.18,261.61,3.27,93.76,0.49,01:23:25,False,3,5,MORNING
16,U1000000,2021-04-06,40.01,30.49,251.56,3.14,127.0,0.67,01:18:45,False,3,5,MORNING
17,U1000000,2021-06-15,40.32,26.72,214.09,2.68,99.8,0.53,01:30:32,False,3,5,MORNING
18,U1000000,2021-06-22,40.33,29.99,260.64,3.26,120.72,0.64,01:20:41,False,3,5,MORNING
19,U1000000,2021-06-29,40.04,29.9,276.24,3.45,93.17,0.49,01:20:21,False,3,5,MORNING
20,U1000000,2022-10-25,23.96,29.63,208.28,2.6,152.85,0.8,00:48:31,False,3,5,MORNING
21,U1000003,2022-09-06,31.68,32.45,294.29,3.63,164.13,0.86,00:58:35,False,3,5,MORNING
22,U1000003,2022-09-13,31.55,32.56,299.67,3.7,165.56,0.87,00:58:08,False,3,5,MORNING
23,U1000003,2022-09-20,34.97,29.11,241.19,2.98,156.6,0.82,01:12:04,False,3,5,MORNING
24,U1000003,2022-10-04,34.71,30.07,248.9,3.07,155.91,0.82,01:09:15,False,3,5,MORNING
25,U1000003,2022-10-18,34.76,30.21,247.52,3.06,162.69,0.86,01:09:02,False,3,5,MORNING
26,U1000003,2022-11-08,35.04,30.26,241.99,2.99,152.3,0.8,01:09:29,False,3,5,MORNING
27,U1000004,2022-02-01,27.78,30.09,218.4,2.95,159.66,0.84,00:55:23,False,3,5,MORNING
28,U1000004,2022-02-08,27.76,30.81,211.17,2.85,153.31,0.81,00:54:04,False,3,5,MORNING
29,U1000004,2022-03-22,27.23,28.69,201.23,2.72,140.05,0.74,00:56:57,False,3,5,MORNING
30,U1000004,2022-04-12,35.17,31.11,212.0,2.86,156.8,0.83,01:07:50,False,3,5,MORNING
31,U1000004,2022-09-20,27.8,28.43,199.25,2.69,148.17,0.78,00:58:41,False,3,5,MORNING
