,step,instantaneous_power,accumulated_energy,pedal_power_balance,accumulated_torque,cumulative_wheel_revs,last_wheel_event_time,cumulative_crank_revs,last_crank_event_time,maximum_force_magnitude,minimum_force_magnitude,maximum_torque_magnitude,minimum_torque_magnitude,top_dead_spot_angle,bottom_dead_spot_angle
0,2023/04/10 19:10:01,0,,,31384,1382,3912,,,,,,,,
1,2023/04/10 19:10:02,0,,,31384,1382,3912,,,,,,,,
2,2023/04/10 19:10:03,0,,,31384,1382,3912,,,,,,,,
3,2023/04/10 19:10:04,0,,,31384,1382,3912,,,,,,,,
4,2023/04/10 19:10:05,0,,,31384,1382,3912,,,,,,,,
5,2023/04/10 19:10:06,0,,,31384,1383,25187,,,,,,,,
6,2023/04/10 19:10:07,74,,,31707,1384,26944,,,,,,,,
7,2023/04/10 19:10:08,125,,,32343,1386,29103,,,,,,,,
8,2023/04/10 19:10:09,190,,,33432,1389,31458,,,,,,,,
9,2023/04/10 19:10:10,183,,,34344,1392,33479,,,,,,,,
10,2023/04/10 19:10:12,159,,,35158,1395,35445,,,,,,,,
11,2023/04/10 19:10:13,159,,,35915,1398,37398,,,,,,,,
12,2023/04/10 19:10:14,132,,,36691,1401,39391,,,,,,,,
13,2023/04/10 19:10:14,115,,,37176,1404,41403,,,,,,,,
14,2023/04/10 19:10:16,110,,,37875,1407,43473,,,,,,,,
15,2023/04/10 19:10:16,66,,,38163,1410,45557,,,,,,,,
16,2023/04/10 19:10:17,61,,,38529,1413,47703,,,,,,,,
17,2023/04/10 19:10:18,61,,,38841,1416,49883,,,,,,,,
18,2023/04/10 19:10:20,52,,,39043,1418,51387,,,,,,,,
19,2023/04/10 19:10:21,65,,,39368,1421,53671,,,,,,,,
20,2023/04/10 19:10:22,70,,,39753,1424,55982,,,,,,,,
21,2023/04/10 19:10:22,119,,,40131,1426,57459,,,,,,,,
22,2023/04/10 19:10:23,140,,,40971,1429,59681,,,,,,,,
23,2023/04/10 19:10:24,43,,,41259,1431,61372,,,,,,,,
24,2023/04/10 19:10:26,0,,,41277,1434,64100,,,,,,,,
25,2023/04/10 19:10:27,0,,,41277,1436,524,,,,,,,,
26,2023/04/10 19:10:27,0,,,41277,1438,2623,,,,,,,,
27,2023/04/10 19:10:28,0,,,41277,1439,3734,,,,,,,,
28,2023/04/10 19:10:29,0,,,41277,1441,6105,,,,,,,,
29,2023/04/10 19:10:30,0,,,41277,1443,8723,,,,,,,,
