int64_field_0,step,instantaneous_power,accumulated_energy,pedal_power_balance,accumulated_torque,cumulative_wheel_revs,last_wheel_event_time,cumulative_crank_revs,last_crank_event_time,maximum_force_magnitude,minimum_force_magnitude,maximum_torque_magnitude,minimum_torque_magnitude,top_dead_spot_angle,bottom_dead_spot_angle
0,2023-04-10 16:59:39.000000 UTC,0,,,16115,1296,47300,,,,,,,,
1,2023-04-10 16:59:40.000000 UTC,0,,,16115,1296,47300,,,,,,,,
2,2023-04-10 16:59:41.000000 UTC,0,,,16115,1297,54756,,,,,,,,
3,2023-04-10 16:59:42.000000 UTC,27,,,16283,1298,57256,,,,,,,,
4,2023-04-10 16:59:43.000000 UTC,27,,,16422,1299,59321,,,,,,,,
5,2023-04-10 16:59:44.000000 UTC,115,,,16893,1301,61575,,,,,,,,
6,2023-04-10 16:59:45.000000 UTC,261,,,18081,1304,63847,,,,,,,,
7,2023-04-10 16:59:46.000000 UTC,425,,,20206,1308,662,,,,,,,,
8,2023-04-10 16:59:47.000000 UTC,168,,,21508,1311,2508,,,,,,,,
9,2023-04-10 16:59:48.000000 UTC,79,,,21844,1314,4394,,,,,,,,
10,2023-04-10 16:59:49.000000 UTC,184,,,22816,1318,6859,,,,,,,,
11,2023-04-10 16:59:50.000000 UTC,251,,,23804,1321,8652,,,,,,,,
12,2023-04-10 16:59:52.000000 UTC,339,,,25643,1325,10943,,,,,,,,
13,2023-04-10 16:59:52.000000 UTC,278,,,26947,1328,12644,,,,,,,,
14,2023-04-10 16:59:53.000000 UTC,212,,,28293,1332,14924,,,,,,,,
15,2023-04-10 16:59:54.000000 UTC,219,,,29216,1335,16620,,,,,,,,
16,2023-04-10 16:59:55.000000 UTC,189,,,30355,1339,18896,,,,,,,,
17,2023-04-10 16:59:56.000000 UTC,148,,,31128,1342,20628,,,,,,,,
18,2023-04-10 16:59:57.000000 UTC,0,,,31384,1346,23165,,,,,,,,
19,2023-04-10 16:59:58.000000 UTC,0,,,31384,1349,25174,,,,,,,,
20,2023-04-10 16:59:59.000000 UTC,0,,,31384,1352,27287,,,,,,,,
21,2023-04-10 17:00:00.000000 UTC,0,,,31384,1354,28760,,,,,,,,
22,2023-04-10 17:00:01.000000 UTC,0,,,31384,1357,31081,,,,,,,,
23,2023-04-10 17:00:02.000000 UTC,0,,,31384,1359,32713,,,,,,,,
24,2023-04-10 17:00:03.000000 UTC,0,,,31384,1362,35313,,,,,,,,
25,2023-04-10 17:00:04.000000 UTC,0,,,31384,1364,37166,,,,,,,,
26,2023-04-10 17:00:05.000000 UTC,0,,,31384,1366,39132,,,,,,,,
27,2023-04-10 17:00:06.000000 UTC,0,,,31384,1368,41235,,,,,,,,
28,2023-04-10 17:00:07.000000 UTC,0,,,31384,1370,43505,,,,,,,,
29,2023-04-10 17:00:08.000000 UTC,0,,,31384,1371,44715,,,,,,,,
