Recording_URL,Publicly_Shared,Already_Watched,Comments,Labels,Created,New___Returning,Hotjar_User_ID,Country,Action_Count,Page_Count,Duration__seconds_,Device,Device_Screen_Size,Browser,Operating_System,Referrer_URL,Landing_Page_URL,Exit_Page_URL,Rage_Clicked,U_Turned,Incoming_Feedback,Net_Promoter_Score__,Events
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/14/2023 23:07:58,New user,ce8520d4,IQ,12,2,969,Phone,246 X 443,Chrome,Android,https://WEBSITE-NAME.com.au/?gclid=CjwKCAjw8-OhBhB5EiwADyoY1auTZ36psU2P1EtcjhE2m3bN4p2ziPDOG6NWgxR7A94kibcEdi9AVxoCGR4QAvD_BwE,https://WEBSITE-NAME.com.au/,https://WEBSITE-NAME.com.au/cart,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/27/2023 12:37:26,New user,f592e573,AU,2,1,179,Phone,254 X 374,Safari,Ios,https://WEBSITE-NAME.com.au/collections/gear-wading-wader-boot-combos,https://WEBSITE-NAME.com.au/collections/HANDLELINK,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/27/2023 20:14:49,New user,24876b1e,GT,22,3,253,Phone,320 X 512,Chrome,Android,https://WEBSITE-NAME.com.au/?gclid=CjwKCAjwuqiiBhBtEiwATgvixLbGtmXwzGqt5L2fThSf4f2MAvkTPVg9OoDlZdhiJRTQmYb-fmNNJRoChe8QAvD_BwE,https://WEBSITE-NAME.com.au/search?HANDLELINK,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/11/2023 20:02:49,New user,9d112fa2,AU,1,1,71,Phone,320 X 522,Safari,Ios,https://WEBSITE-NAME.com.au/collections/all/products/simms-superlight-bucket-hat,https://WEBSITE-NAME.com.au/products/HANDLELINK,https://WEBSITE-NAME.com.au/products/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/15/2023 22:31:39,New user,327959e5,AU,2,1,40,Phone,328 X 535,Safari,Ios,https://WEBSITE-NAME.com.au/collections/all/products/simms-superlight-bucket-hat,https://WEBSITE-NAME.com.au/products/HANDLELINK,https://WEBSITE-NAME.com.au/products/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/16/2023 11:13:32,New user,a436f3f2,AU,102,14,706,Phone,328 X 535,Safari,Ios,https://WEBSITE-NAME.com.au/collections/all/products/simms-superlight-bucket-hat,https://WEBSITE-NAME.com.au/products/HANDLELINK,https://WEBSITE-NAME.com.au/search?HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/12/2023 0:41:08,Returning user,51462fdd,AU,2,1,47,Phone,360 X 394,Chrome,Android,https://WEBSITE-NAME.com.au/search?q=XXXXX,https://WEBSITE-NAME.com.au/search?HANDLELINK,https://WEBSITE-NAME.com.au/search?HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/11/2023 18:04:44,Returning user,51462fdd,AU,8,1,2261,Phone,360 X 450,Chrome,Android,https://WEBSITE-NAME.com.au/search?q=XXXXX,https://WEBSITE-NAME.com.au/search?HANDLELINK,https://WEBSITE-NAME.com.au/search?HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/7/2023 17:26:21,New user,60f56b6c,JO,4,1,33,Phone,360 X 560,Chrome,Android,https://WEBSITE-NAME.com.au/?gclid=Cj0KCQjw_r6hBhDdARIsAMIDhV_Hg5vukzQIJwDSpMPSP1Iz_Tn8iJtfCS4DrEK0BCYhP4bfH-xb6Y0aApwrEALw_wcB,https://WEBSITE-NAME.com.au/,https://WEBSITE-NAME.com.au/,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/27/2023 14:13:45,New user,0f85e7af,IQ,11,1,134,Phone,360 X 600,Chrome,Android,https://WEBSITE-NAME.com.au/pages/XXXXXX,https://WEBSITE-NAME.com.au/pages/HANDLELINK,https://WEBSITE-NAME.com.au/pages/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
